"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"Voxlect: A Speech Foundation Model Benchmark for Modeling Dialects and Regional Languages Around the Globe","https://arxiv.org/abs/2508.01691v1","2025","Preprint","","Tiantian Feng
Kevin Huang
Anfeng Xu
Xuan Shi
Thanathai Lertpetchpun
Jihwan Lee
Yoonjeong Lee
Dani Byrd
Shrikanth Narayanan","","https://arxiv.org/pdf/2508.01691v1","Yes","","","","","","","http://arxiv.org/abs/2508.01691v1","2025-08-03T09:51:28Z","cs.SD","cs.SD, cs.CL, eess.AS","arXiv","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Benchmarks dialect classification across many languages, including Arabic, but does not target Arabic ASR/TTS, neural end‑to‑end models, or detailed Arabic evaluations.","We present Voxlect, a novel benchmark for modeling dialects and regional languages worldwide using speech foundation models. Specifically, we report comprehensive benchmark evaluations on dialects and regional language varieties in English, Arabic, Mandarin and Cantonese, Tibetan, Indic languages, Thai, Spanish, French, German, Brazilian Portuguese, and Italian. Our study used over 2 million training utterances from 30 publicly available speech corpora that are provided with dialectal information. We evaluate the performance of several widely used speech foundation models in classifying speech dialects. We assess the robustness of the dialectal models under noisy conditions and present an error analysis that highlights modeling results aligned with geographic continuity. In addition to benchmarking dialect classification, we demonstrate several downstream applications enabled by Voxlect. Specifically, we show that Voxlect can be applied to augment existing speech recognition datasets with dialect information, enabling a more detailed analysis of ASR performance across dialectal variations. Voxlect is also used as a tool to evaluate the performance of speech generation systems. Voxlect is publicly available with the license of the RAIL family at: https://github.com/tiantiaf0627/voxlect."
"Grammatical Structure and Grammatical Variations in Non-Metric Iranian Classical Music","https://arxiv.org/abs/2507.10708v1","2025","Preprint","","Maziar Kanani
Sean O Leary
James McDermott","","https://arxiv.org/pdf/2507.10708v1","Yes","","","","","","","http://arxiv.org/abs/2507.10708v1","2025-07-14T18:21:07Z","cs.NE","cs.NE, cs.SD, eess.AS","arXiv","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** The paper deals with symbolic parsing and variation generation for non-metric Iranian classical music, not Arabic speech processing, ASR/TTS, or related neural/audio techniques.","In this study we introduce a symbolic dataset composed of non-metric Iranian classical music, and algorithms for structural parsing of this music, and generation of variations. The corpus comprises MIDI files and data sheets of Dastgah Shour from Radif Mirza Abdollah, the foundational repertoire of Iranian classical music. Furthermore, we apply our previously-introduced algorithm for parsing melodic structure (Kanani et al., 2023b)to the dataset. Unlike much Western music, this type of non-metric music does not follow bar-centric organisation. The non-metric organisation can be captured well by our parsing algorithm. We parse each tune (Gusheh) into a grammar to identify motifs and phrases. These grammar representations can be useful for educational and ethnomusicological purposes. We also further develop a previously-introduced method of creating melodic variations (Kanani et al., 2023b). After parsing an existing tune to produce a grammar, by applying mutations to this grammar, we generate a new grammar. Expanding this new version yields a variation of the original tune. Variations are assessed by a domain-expert listener. Additionally, we conduct a statistical analysis of mutation with different representation setups for our parsing and generation algorithms. The overarching conclusion is that the system successfully produces acceptable variations post-mutation. While our case study focuses on Iranian classical music, the methodology can be adapted for Arabic or Turkish classical music."
"Systematic Literature Review of Dialectal Arabic: Identification and Detection","https://scispace.com/papers/systematic-literature-review-of-dialectal-arabic-37wxhcdm0h","2021","Journal Article","IEEE Access","Ashraf Elnagar
Sane M. Yagi
Ali Bou Nassif
Ismail Shahin
Said A. Salloum","10.1109/ACCESS.2021.3059504","https://scispace.com/pdf/systematic-literature-review-of-dialectal-arabic-37wxhcdm0h.pdf","Yes","54","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** A systematic review of dialect identification, not speech processing, ASR/TTS, or related neural, low‑resource, evaluation, multilingual, or real‑time aspects.","It is becoming increasingly difficult to know who is working on what and how in computational studies of Dialectal Arabic. This study comes to chart the field by conducting a systematic literature review that is intended to give insight into the most and least popular research areas, dialects, machine learning approaches, neural network input features, data types, datasets, system evaluation criteria, publication venues, and publication trends. It is a review that is guided by the norms of systematic reviews. It has taken account of all the research that adopted a computational approach to dialectal Arabic identification and detection and that was published between 2000 and 2020. It collected, analyzed, and collated this research, discovered its trends, and identified research gaps. It revealed, inter alia, that our research effort has not been directed evenly between speech and text or between the vernaculars; there is some bias favoring text over speech, regional varieties over individual vernaculars, and Egyptian over all other vernaculars. Furthermore, there is a clear preference for shallow machine learning approaches, for the use of n-grams, TF-IDF, and MFCC as neural network features, and for accuracy as a statistical measure of validation of results. This paper also pointed to some glaring gaps in the research: (1) total neglect of Mauritanian and Bahraini in the continuous Arabic language area and of such enclave varieties as Anatolian Arabic, Khuzistan Arabic, Khurasan Arabic, Uzbekistan Arabic, the Subsaharan Arabic of Nigeria and Chad, Djibouti Arabic, Cypriot Arabic and Maltese; (2) scarcity of city dialect resources; (3) rarity of linguistic investigations that would complement our research; (4) and paucity of deep machine learning experimentation."
"A Survey of Large Language Models for Arabic Language and its Dialects","https://scispace.com/papers/a-survey-of-large-language-models-for-arabic-language-and-6mvba9rfvqyp","2024","Journal Article","","Malak Mashaabi
Shahad Al-Khalifa
Hend S. Al‐Khalifa","10.48550/arxiv.2410.20238","https://scispace.com/pdf/a-survey-of-large-language-models-for-arabic-language-and-6mvba9rfvqyp.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Survey covers Arabic text LLMs and dialects, without addressing speech, ASR, TTS, or related neural speech architectures and evaluations.","This survey offers a comprehensive overview of Large Language Models (LLMs) designed for Arabic language and its dialects. It covers key architectures, including encoder-only, decoder-only, and encoder-decoder models, along with the datasets used for pre-training, spanning Classical Arabic, Modern Standard Arabic, and Dialectal Arabic. The study also explores monolingual, bilingual, and multilingual LLMs, analyzing their architectures and performance across downstream tasks, such as sentiment analysis, named entity recognition, and question answering. Furthermore, it assesses the openness of Arabic LLMs based on factors, such as source code availability, training data, model weights, and documentation. The survey highlights the need for more diverse dialectal datasets and attributes the importance of openness for research reproducibility and transparency. It concludes by identifying key challenges and opportunities for future research and stressing the need for more inclusive and representative models."
"CS-FLEURS: A Massively Multilingual and Code-Switched Speech Dataset","https://arxiv.org/abs/2509.14161v1","2025","Preprint","","Brian Yan
Injy Hamed
Shuichiro Shimizu
Vasista Lodagala
William Chen
Olga Iakovenko
Bashar Talafha
Amir Hussein
Alexander Polok
Kalvin Chang
Dominik Klement
Sara Althubaiti
Puyuan Peng
Matthew Wiesner
Thamar Solorio
Ahmed Ali
Sanjeev Khudanpur
Shinji Watanabe
Chih-Chen Chen
Zhen Wu
Karim Benharrak
Anuj Diwan
Samuele Cornell
Eunjung Yeo
Kwanghee Choi
Carlos Carvalho
Karen Rosero","","https://arxiv.org/pdf/2509.14161v1","Yes","","","","","","","http://arxiv.org/abs/2509.14161v1","2025-09-17T16:45:22Z","cs.CL","cs.CL, cs.SD, eess.AS","arXiv","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Provides a multilingual code‑switched dataset including Arabic pairs, but focuses on data creation rather than Arabic ASR/TTS methods or evaluations.","We present CS-FLEURS, a new dataset for developing and evaluating code-switched speech recognition and translation systems beyond high-resourced languages. CS-FLEURS consists of 4 test sets which cover in total 113 unique code-switched language pairs across 52 languages: 1) a 14 X-English language pair set with real voices reading synthetically generated code-switched sentences, 2) a 16 X-English language pair set with generative text-to-speech 3) a 60 {Arabic, Mandarin, Hindi, Spanish}-X language pair set with the generative text-to-speech, and 4) a 45 X-English lower-resourced language pair test set with concatenative text-to-speech. Besides the four test sets, CS-FLEURS also provides a training set with 128 hours of generative text-to-speech data across 16 X-English language pairs. Our hope is that CS-FLEURS helps to broaden the scope of future code-switched speech research. Dataset link: https://huggingface.co/datasets/byan/cs-fleurs."
"CSLRConformer: A Data-Centric Conformer Approach for Continuous Arabic Sign Language Recognition on the Isharah Datase","https://arxiv.org/abs/2508.01791v1","2025","Preprint","","Fatimah Mohamed Emad Elden","","https://arxiv.org/pdf/2508.01791v1","Yes","","","","","","","http://arxiv.org/abs/2508.01791v1","2025-08-03T14:58:50Z","cs.CV","cs.CV, cs.AI, cs.CL","arXiv","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Focuses on Arabic sign language recognition, not spoken Arabic processing; no ASR/TTS, speech data, or related evaluations presented.","The field of Continuous Sign Language Recognition (CSLR) poses substantial technical challenges, including fluid inter-sign transitions, the absence of temporal boundaries, and co-articulation effects. This paper, developed for the MSLR 2025 Workshop Challenge at ICCV 2025, addresses the critical challenge of signer-independent recognition to advance the generalization capabilities of CSLR systems across diverse signers. A data-centric methodology is proposed, centered on systematic feature engineering, a robust preprocessing pipeline, and an optimized model architecture. Key contributions include a principled feature selection process guided by Exploratory Data Analysis (EDA) to isolate communicative keypoints, a rigorous preprocessing pipeline incorporating DBSCAN-based outlier filtering and spatial normalization, and the novel CSLRConformer architecture. This architecture adapts the hybrid CNN-Transformer design of the Conformer model, leveraging its capacity to model local temporal dependencies and global sequence context; a characteristic uniquely suited for the spatio-temporal dynamics of sign language. The proposed methodology achieved a competitive performance, with a Word Error Rate (WER) of 5.60% on the development set and 12.01% on the test set, a result that secured a 3rd place ranking on the official competition platform. This research validates the efficacy of cross-domain architectural adaptation, demonstrating that the Conformer model, originally conceived for speech recognition, can be successfully repurposed to establish a new state-of-the-art performance in keypoint-based CSLR."
"On Ambiguity in the Arabic Language: Scrutinizing Translation Issues through Machine Translation from English and French into Arabic","https://scispace.com/papers/on-ambiguity-in-the-arabic-language-scrutinizing-translation-22okqfpki3","2024","Journal Article","Journal of intercultural communication","Bahia Zemni
Mimouna Zitouni
Farouk Bouhadiba
Mashael Almutairi","10.36923/jicc.v24i1.171","https://scispace.com/pdf/on-ambiguity-in-the-arabic-language-scrutinizing-translation-22okqfpki3.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Focuses on textual translation ambiguity and Arabic morphology, not on spoken Arabic processing, ASR, TTS, or related neural speech technologies.","Ambiguity in some syntactic structures of the same language has always posed problems to the human translator and to machine translation. These problems become more complex for the Machine Translation of genetically unrelated languages such as Arabic, English and French. Arabic Lexical ambiguity in Natural Language Processing (NLP) also poses problems when the semantic fields of Arabic words differ from those of English for instance. This often occurs when two or more words from Arabic equate to a single word in English. Semantic gaps between the two languages are also a source of ambiguity in Natural Language Processing. We shall deal with some cases of ambiguity in machine translation from Arabic to English and French and vice versa. The questions addressed in this paper relate to segmentation, determination / non-determination, coordination and the issue of the word as a meaningful and functional unit. Some aspects of the segmentation of constituents into grammatical categories and their comparison with structures of Arabic English and French are addressed in this paper."
"Auto electronic recognition of the Arabic letters sound","https://scispace.com/papers/auto-electronic-recognition-of-the-arabic-letters-sound-1w743mde","2022","Journal Article","Indonesian Journal of Electrical Engineering and Computer Science","Omar Ibrahim Alsaif
Kifaa Hadi Thanoon
Asmaa Hadi Al_bayati","10.11591/ijeecs.v28.i2.pp769-776","https://scispace.com/pdf/auto-electronic-recognition-of-the-arabic-letters-sound-1w743mde.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Focuses on phonetic description and manual analysis of Arabic letters; lacks ASR/TTS methods, neural models, evaluations, or real‑time implementations.","In this research Arabic speech sounds have been studied and investigated, so as to find the distinctive features of each articulated sound. Therefore, certain Arabic sound which share certain approximate distinctive significant features have been chosen for study the ability of distinguishing among them through abstracting characteristic features for them. The signals of speech for the sounds have been recorded through the microphone which represented in a binary matrix. This procedure was implemented so as prepare these signals for processing operation through which two features for the co-occurrence matrix (contrast, energy) have been counted. The values of these features were studied and compared from one person to another to discover the certain speech sounds properties sharing certain common distinguishing features approximate in their articulation one another. The results analysis for this study gave the ability of the dependence to these features for distinguish the sound of speaker, in addition to the high ability which provided to distinguish among the arabic letters, where no connect between both co-occurrence matrix elements and the features of signaling of any arabic letters."
"Arabic Handwritten Text Recognition Systems and Challenges and Opportunities","https://scispace.com/papers/arabic-handwritten-text-recognition-systems-and-challenges-3vnqa2au7d","2023","Journal Article","The Egyptian Journal of Language Engineering","Esraa El-Awadly
Ahmed Ismail Ebada
Aya M. Al‐Zoghby","10.21608/ejle.2023.193993.1043","https://scispace.com/pdf/arabic-handwritten-text-recognition-systems-and-challenges-3vnqa2au7d.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Paper addresses Arabic handwritten OCR, not speech; thus irrelevant to all speech‑related criteria.",""
"Arabic Text Processing Model: Verbs Roots and Conjugation Automation","https://scispace.com/papers/arabic-text-processing-model-verbs-roots-and-conjugation-1m39m8opcq","2020","Journal Article","IEEE Access","Mohamed Tahar Ben Othman
Mohammed Abdullah Al-Hagery
Yahya Muhammad El Hashemi","10.1109/ACCESS.2020.2999259","https://scispace.com/pdf/arabic-text-processing-model-verbs-roots-and-conjugation-1m39m8opcq.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Focuses on Arabic verb root extraction and conjugation automation, a text‑processing task; contains no speech, ASR, TTS, neural models, or related evaluations.","The Natural Language Processing (NLP) is a process to automate the text or speech of Natural Languages. This automation is mainly conducted for Western languages. The Arabic Language got less focus in this area. This paper presents a Model to recognize an Arabic sentence. A new morphological model based on regular expressions is developed to recognize the Arabic verbs. A hash table containing all Arabic three-letters' root of verbs is implemented. The total number of Arabic verbs that are derived from three-letters' root size is 23090. The number of roots is 6104. A set of rules forming the Arabic grammar is used to derive and analyze the syntax of Arabic sentences. About 87% of the verbs represented in our regular expressions' engine are detected. Moreover, the sentences are also recognized. In several Surat of the Quran, only 9% of the detected verbs are false-positive (a non-verb declared as a verb), and 4% are considered false-negative (a verb is considered as a noun). This rate is mainly because we are not using vowels even that the Quran (our case study) is using them. The reason behind our decision is to be able to handle all Arabic texts, which mostly are not using vowels."
